"Date","time","sm","APmag","S-brt","Illu%","delta","deldot"
2014-Dec-01,00:00,*m,-10.95,4.81,67.842,0.0024688202,-0.2256972
2014-Dec-01,00:15,*m,-10.95,4.81,67.932,0.0024674992,-0.2132396
2014-Dec-01,00:30,Cm,-10.96,4.8,68.02,0.002466256,-0.1998607
2014-Dec-01,00:45,Cm,-10.96,4.8,68.106,0.002465096,-0.1856138
2014-Dec-01,01:00,Nm,-10.97,4.8,68.192,0.0024640241,-0.1705558
2014-Dec-01,01:15,Nm,-10.97,4.8,68.276,0.0024630451,-0.1547472
2014-Dec-01,01:30,Nm,-10.97,4.8,68.359,0.0024621633,-0.138252
2014-Dec-01,01:45,Am,-10.98,4.79,68.44,0.0024613827,-0.1211371
2014-Dec-01,02:00,Am,-10.98,4.79,68.521,0.0024607068,-0.1034723
2014-Dec-01,02:15,m,-10.98,4.79,68.601,0.0024601385,-0.0853297
2014-Dec-01,02:30,m,-10.99,4.79,68.68,0.0024596808,-0.0667838
2014-Dec-01,02:45,m,-10.99,4.79,68.759,0.0024593356,-0.0479108
2014-Dec-01,03:00,m,-10.99,4.79,68.837,0.0024591047,-0.0287883
2014-Dec-01,03:15,m,-11,4.78,68.915,0.0024589895,-0.0094952
2014-Dec-01,03:30,m,-11,4.78,68.992,0.0024589906,0.0098888
2014-Dec-01,03:45,t,-11,4.78,69.07,0.0024591085,0.0292839
2014-Dec-01,04:00,m,-11.01,4.78,69.147,0.0024593429,0.0486098
2014-Dec-01,04:15,m,-11.01,4.78,69.225,0.0024596932,0.0677869
2014-Dec-01,04:30,m,-11.01,4.78,69.303,0.0024601581,0.0867361
2014-Dec-01,04:45,m,-11.01,4.77,69.381,0.0024607363,0.1053793
2014-Dec-01,05:00,m,-11.02,4.77,69.46,0.0024614254,0.12364
2014-Dec-01,05:15,m,-11.02,4.77,69.539,0.0024622232,0.1414432
2014-Dec-01,05:30,m,-11.02,4.77,69.62,0.0024631264,0.1587162
2014-Dec-01,05:45,m,-11.02,4.77,69.701,0.0024641318,0.1753885
2014-Dec-01,06:00,m,-11.03,4.76,69.783,0.0024652356,0.1913924
2014-Dec-01,06:15,m,-11.03,4.76,69.866,0.0024664335,0.2066632
2014-Dec-01,06:30,m,-11.03,4.76,69.95,0.0024677209,0.2211395
2014-Dec-01,06:45,m,-11.03,4.76,70.036,0.0024690928,0.2347633
2014-Dec-01,07:00,m,-11.03,4.76,70.123,0.002470544,0.2474805
2014-Dec-01,07:15,m,-11.04,4.75,70.211,0.0024720689,0.2592409
2014-Dec-01,07:30,m,-11.04,4.75,70.301,0.0024736616,0.2699985
2014-Dec-01,07:45,m,-11.04,4.75,70.393,0.0024753158,0.2797115
2014-Dec-01,08:00,m,-11.04,4.75,70.486,0.0024770253,0.2883429
2014-Dec-01,08:15,m,-11.04,4.75,70.58,0.0024787833,0.2958599
2014-Dec-01,08:30,m,-11.05,4.74,70.677,0.0024805832,0.3022347
2014-Dec-01,08:45,m,-11.05,4.74,70.775,0.0024824179,0.3074443
2014-Dec-01,09:00,m,-11.05,4.74,70.875,0.0024842804,0.3114704
2014-Dec-01,09:15,m,-11.05,4.74,70.977,0.0024861635,0.3142996
2014-Dec-01,09:30,m,-11.06,4.73,71.08,0.00248806,0.3159235
2014-Dec-01,09:45,m,-11.06,4.73,71.185,0.0024899627,0.3163385
2014-Dec-01,10:00,s,-11.06,4.73,71.292,0.0024918642,0.315546
2014-Dec-01,10:15,,-11.06,4.73,71.401,0.0024937574,0.3135519
2014-Dec-01,10:30,,-11.07,4.72,71.512,0.0024956349,0.3103671
2014-Dec-01,10:45,,-11.07,4.72,71.624,0.0024974898,0.3060072
2014-Dec-01,11:00,,-11.07,4.72,71.738,0.0024993149,0.3004921
2014-Dec-01,11:15,,-11.07,4.72,71.854,0.0025011034,0.2938465
2014-Dec-01,11:30,,-11.08,4.71,71.971,0.0025028487,0.2860991
2014-Dec-01,11:45,,-11.08,4.71,72.089,0.002504544,0.2772829
2014-Dec-01,12:00,,-11.08,4.71,72.21,0.0025061832,0.2674349
2014-Dec-01,12:15,,-11.09,4.71,72.331,0.0025077602,0.2565959
2014-Dec-01,12:30,,-11.09,4.7,72.454,0.002509269,0.2448105
2014-Dec-01,12:45,,-11.09,4.7,72.578,0.0025107043,0.2321265
2014-Dec-01,13:00,,-11.1,4.7,72.703,0.0025120606,0.2185953
2014-Dec-01,13:15,,-11.1,4.69,72.83,0.0025133331,0.204271
2014-Dec-01,13:30,,-11.1,4.69,72.957,0.0025145172,0.189211
