 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-01 00:00 *m  -10.95   4.81  67.842 0.00246882017903  -0.2256972
 2014-Dec-01 00:15 *m  -10.95   4.81  67.932 0.00246749922980  -0.2132396
 2014-Dec-01 00:30 Cm  -10.96   4.80  68.020 0.00246625603141  -0.1998607
 2014-Dec-01 00:45 Cm  -10.96   4.80  68.106 0.00246509596860  -0.1856138
 2014-Dec-01 01:00 Nm  -10.97   4.80  68.192 0.00246402409476  -0.1705558
 2014-Dec-01 01:15 Nm  -10.97   4.80  68.276 0.00246304510959  -0.1547472
 2014-Dec-01 01:30 Nm  -10.97   4.80  68.359 0.00246216333828  -0.1382520
 2014-Dec-01 01:45 Am  -10.98   4.79  68.440 0.00246138271222  -0.1211371
 2014-Dec-01 02:00 Am  -10.98   4.79  68.521 0.00246070675139  -0.1034723
 2014-Dec-01 02:15  m  -10.98   4.79  68.601 0.00246013854850  -0.0853297
 2014-Dec-01 02:30  m  -10.99   4.79  68.680 0.00245968075508  -0.0667838
 2014-Dec-01 02:45  m  -10.99   4.79  68.759 0.00245933556947  -0.0479108
 2014-Dec-01 03:00  m  -10.99   4.79  68.837 0.00245910472678  -0.0287883
 2014-Dec-01 03:15  m  -11.00   4.78  68.915 0.00245898949108  -0.0094952
 2014-Dec-01 03:30  m  -11.00   4.78  68.992 0.00245899064962   0.0098888
 2014-Dec-01 03:45  t  -11.00   4.78  69.070 0.00245910850924   0.0292839
 2014-Dec-01 04:00  m  -11.01   4.78  69.147 0.00245934289498   0.0486098
 2014-Dec-01 04:15  m  -11.01   4.78  69.225 0.00245969315095   0.0677869
 2014-Dec-01 04:30  m  -11.01   4.78  69.303 0.00246015814328   0.0867361
 2014-Dec-01 04:45  m  -11.01   4.77  69.381 0.00246073626534   0.1053793
 2014-Dec-01 05:00  m  -11.02   4.77  69.460 0.00246142544511   0.1236400
 2014-Dec-01 05:15  m  -11.02   4.77  69.539 0.00246222315457   0.1414432
 2014-Dec-01 05:30  m  -11.02   4.77  69.620 0.00246312642122   0.1587162
 2014-Dec-01 05:45  m  -11.02   4.77  69.701 0.00246413184155   0.1753885
 2014-Dec-01 06:00  m  -11.03   4.76  69.783 0.00246523559633   0.1913924
 2014-Dec-01 06:15  m  -11.03   4.76  69.866 0.00246643346788   0.2066632
 2014-Dec-01 06:30  m  -11.03   4.76  69.950 0.00246772085879   0.2211395
 2014-Dec-01 06:45  m  -11.03   4.76  70.036 0.00246909281246   0.2347633
 2014-Dec-01 07:00  m  -11.03   4.76  70.123 0.00247054403503   0.2474805
